carrier,modulator,depth,nested,convergence,baseline,local,central,adaa,adaa_gain_db,adaa_wanted_error_db,adaa_outside_reference_support_db
853.0,701.0,1.0,1.25,-37.3349498116083,2.887116161014158,0.6458388513833436,2.2316232275751133,2.5224885608659386,-10.250754845239998,2.52240166926982,-44.46562024898889
853.0,701.0,0.15,-0.8,-53.897463984239515,-6.784756480722306,-7.175848157560264,-7.96572998548302,-11.184003283094215,-0.941380434396929,-11.19170190638303,-38.70156444781411
853.0,1501.0,0.0,0.0,-54.064803447489524,-7.573273213884542,-7.573273213884542,-7.573273213884542,-13.829383882555478,-0.9950635496905342,-17.54013144963479,-16.23667375113067
853.0,1501.0,0.02,0.0,-53.99236346432937,-7.430615581283044,-7.450473505591939,-7.502202832219905,-13.676727907284798,-0.9975041158271105,-17.300145871547215,-16.149855871154084
853.0,1501.0,0.15,0.0,-52.37492628548755,-4.728205450598773,-4.240423814651937,-6.831982033423031,-7.707546452444999,-0.8131315304469765,-8.83272375474096,-14.123629009804146
853.0,1501.0,0.5,0.0,-41.36693730087651,3.2208574140800392,1.808826488929094,3.206407210910962,4.060527607210192,-16.605062747770592,3.6796817061132114,-6.698854123999501
853.0,1501.0,0.15,0.5,-51.66740486434935,-6.120189646671039,-4.546106494658449,-6.0894458021600215,-5.606210564747029,-1.4198834007880454,-5.607582293485241,-40.61205715048696
853.0,1501.0,0.5,0.5,-44.81014788127229,-1.0390749276188707,-1.481868267607295,-1.101915467783665,0.0066969781092019115,-5.230190442996899,0.006469620001674023,-42.80415535705029
853.0,1501.0,1.0,1.25,-37.326325470563134,2.409532758097284,1.616169389148604,1.9280814874498506,3.318498302285704,-8.106700054209359,3.3184763137216144,-49.63738710775158
853.0,1501.0,0.15,-0.8,-51.73479383004903,-5.024451326494833,-4.294923191936193,-5.965610851639238,-6.9893063541019735,-0.9897350191690611,-6.99874810417632,-33.621344483301236
